nofinesset;nofinessej;rs;rslongue;numvoie;compvoie;typvoie;voie;lieuditbp;departement;libdepartement;cp;commune;telephone;telecopie;dateouv;dateautor;datemaj;wgs84;lat;lng
930016233;930003629;PHARM POIRE PIERRE;;46;;AVENUE;PASTEUR;;93;SEINE-SAINT-DENIS;93290;TREMBLAY EN FRANCE;148606154;148603619;25/04/1980;18/04/1955;23/10/2008;48.9411, 2.57745;48.941100000000006;2.57745
930016753;930016746;PHARM HORY;;29;;AVENUE;DE LA REPUBLIQUE;;93;SEINE-SAINT-DENIS;93420;VILLEPINTE;148606632;;15/06/1992;01/02/1955;06/07/2009;48.9479, 2.5588;48.94789999999999;2.5588
950004556;950004531;PHARM ESSAYOUTI;;17;;RUE;DU DOCTEUR LERAY;;95;VAL D'OISE;95100;ARGENTEUIL;139805104;;15/03/2002;22/09/2005;25/08/2010;48.9493, 2.25681;48.94929999999997;2.25681
950004937;950004911;PHARM MASRAR;;5;;PL;DU ONZE NOVEMBRE;;95;VAL D'OISE;95100;ARGENTEUIL;139610854;139611264;30/07/2005;26/06/1943;25/08/2010;48.9357, 2.23827;48.9357;2.23827
950004952;950004945;PHARM TOUATI;;14;;RUE;P. VAILLANT COUTURIER;;95;VAL D'OISE;95100;ARGENTEUIL;139610105;139611472;01/03/2006;26/06/1943;25/08/2010;48.9456, 2.25305;48.945600000000006;2.2530500000000004
950005082;950005074;PHARM GUILLON;;163;;RUE;DU PERREUX;;95;VAL D'OISE;95100;ARGENTEUIL;139823822;139829195;28/08/1983;14/09/1959;20/04/2011;48.9455, 2.22472;48.945499999999996;2.22472
950005587;950005561;PHARM COILLET-RAMBAUD ISABEL;;;;RUE;DES ECOLES;;95;VAL D'OISE;95340;BERNES SUR OISE;134704500;134701078;20/06/1990;18/12/1984;25/08/2010;49.1603, 2.29912;49.1603;2.2991200000000003
950005603;950005595;PHARM GAVREL;;3;;AVENUE;DUPRESSOIR;DE LA CHARDONNIERE;95;VAL D'OISE;95550;BESSANCOURT;139600802;139605365;02/03/2009;15/09/1962;10/06/2009;49.0365, 2.2119;49.0365;2.2119
950006601;950006593;PHARM MELO MARIE-JO;;9;;RUE;GALLIENI;;95;VAL D'OISE;95240;CORMEILLES EN PARISIS;139780421;139782240;29/01/1992;28/02/1956;25/08/2010;48.9684, 2.19453;48.96839999999998;2.19453
950006916;950006890;PHARM ROBYN;;13;;RUE;DE LA GARE;;95;VAL D'OISE;95330;DOMONT;;139917276;13/07/2009;04/07/1988;25/08/2010;49.032, 2.33662;49.03199999999999;2.33662
950006957;950006940;PHARM HUGON CLAIRE LISE;;14;;RUE;DE LA MAIRIE;;95;VAL D'OISE;95330;DOMONT;139910173;139910173;26/05/1994;29/06/1943;07/06/2007;49.0255, 2.32638;49.025499999999994;2.32638
950008284;950008276;PHARM BEN HAIM;;2;;RUE;DU PETIT PONT;;95;VAL D'OISE;95530;LA FRETTE SUR SEINE;134501530;;27/09/1988;19/04/1988;25/08/2010;48.9859, 2.17762;48.98589999999999;2.17762
950009522;950009514;PHARM MARIE;;;;BOULEVARD;DE L OISE;CTRE COMMERCIAL DES MERISIERS;95;VAL D'OISE;95280;JOUY LE MOUTIER;134217700;;31/03/2003;24/03/2003;25/08/2010;49.0129, 2.02816;49.01289999999998;2.02816
950009670;950009662;PHARM FROISSANT ROCH;;26;;RUE;CHARLES DE GAULLE;;95;VAL D'OISE;95270;LUZARCHES;134712810;134712810;29/12/1981;16/12/1976;25/08/2010;49.1118, 2.42191;49.11179999999999;2.42191
950010280;950010272;PHARM LUU NGUYEN JULIE;;23;;ROUTE;DE CALAIS;;95;VAL D'OISE;95360;MONTMAGNY;139835621;;23/12/1987;29/06/1957;25/08/2010;48.9739, 2.36554;48.9739;2.3655400000000006
950010314;950010306;PHARM BLANC;;3;;RUE;CLAUDE DEBUSSY;ZAC DES SABLONS;95;VAL D'OISE;95360;MONTMAGNY;139839998;139841408;10/01/2006;17/12/1987;25/08/2010;48.9636, 2.33742;48.96359999999998;2.33742
950010926;950010900;PHARM DE VIMAL HOULET C;;29;;RUE;GEORGES BOUCHER;;95;VAL D'OISE;95480;PIERRELAYE;134641035;134643943;24/03/1980;30/06/1943;25/08/2010;49.0212, 2.15427;49.0212;2.15427
950010942;950010934;PHARM SAMSON;;2;B;RUE;LEON PELOUSE;;95;VAL D'OISE;95480;PIERRELAYE;134646240;134646240;25/09/2003;23/09/2003;25/08/2010;49.0232, 2.15399;49.0232;2.15399
950011163;950011155;PHARM DOSSOU YOVO;;1;;AVENUE;KENNEDY;;95;VAL D'OISE;95300;PONTOISE;130301252;130739807;01/06/2008;28/10/1969;27/11/2008;49.0629, 2.09179;49.06289999999998;2.09179
950011965;950011957;PHARM BOUTANG JEAN-P;;24;;RUE;DU CHAMP GAILLARD;;95;VAL D'OISE;95310;ST OUEN L AUMONE;134640209;134640209;11/04/1985;02/01/2004;25/08/2010;49.0336, 2.12677;49.033599999999986;2.12677
950012245;950012237;PHARM YANZE;;;;PL;DU POIRIER BARON;;95;VAL D'OISE;95110;SANNOIS;139822281;;03/11/1986;18/09/1974;25/08/2010;48.9781, 2.24552;48.97809999999999;2.24552
950012930;950012922;PHARM HO KAN YUNG;;3;;PL;DU PRESSOIR;CENTRE COMMERCIAL LES SARMENT;95;VAL D'OISE;95150;TAVERNY;139609815;139608859;02/10/2006;15/07/1993;25/08/2010;49.022, 2.22168;49.02199999999999;2.22168
950013227;950013201;PHARM DECAUDAIN;;1;;PL;DES MARCHANDS;CTRE CCIAL DES HAUTS TOUPETS;95;VAL D'OISE;95490;VAUREAL;130734074;;14/01/1992;21/09/1984;25/08/2010;49.0231, 2.0295;49.02309999999999;2.0295
950013292;950013284;PHARM LEBEAU;;1;;PL;DE LA BUSSIE CC LA BUSSIE;;95;VAL D'OISE;95490;VAUREAL;134309277;;17/07/2007;20/04/2004;29/09/2009;49.033521, 2.020065;49.033521;2.020065
950013342;950013334;PHARM CHAMBRION C;;5;;RUE;DE L EGLISE;;95;VAL D'OISE;95510;VETHEUIL;134781306;134782179;04/01/1989;03/02/1950;25/08/2010;49.0635, 1.70167;49.06349999999999;1.70167
950013615;950013607;PHARM MAISONNIER;;1;;PL;DE LA TOLINETTE;;95;VAL D'OISE;95400;VILLIERS LE BEL;134199111;;19/11/2007;25/11/1982;25/08/2010;49.0036, 2.39229;49.00359999999998;2.39229
940005366;940005341;PHARM  TON;;39;;RUE;EMILE ZOLA;;94;VAL DE MARNE;94140;ALFORTVILLE;143781641;;21/02/1994;23/02/1944;30/06/2009;48.7995, 2.42529;48.799499999999995;2.4252899999999995
940007123;940007115;PHARM SOUSSY;;47;;AVENUE;ROGER SALENGRO;;94;VAL DE MARNE;94500;CHAMPIGNY SUR MARNE;142839432;;12/05/1965;12/05/1965;25/08/2010;48.8193, 2.48752;48.81929999999999;2.4875200000000004
940006323;940006315;PHARM DUPUY BERCHE;;171;;AVENUE;ARISTIDE BRIAND;;94;VAL DE MARNE;94230;CACHAN;147408841;;24/09/1991;12/02/1943;25/08/2010;48.7907, 2.31993;48.79069999999998;2.31993
940006307;940006281;PHARM LEVY ALIETTE;;91;;AVENUE;ARISTIDE BRIAND;;94;VAL DE MARNE;94230;CACHAN;146655462;;28/03/1963;22/02/1951;24/11/2008;48.7959, 2.32195;48.795899999999975;2.32195
940007222;940007214;PHARM PARAIN;;30;;RUE;DE MUSSELBURGH;;94;VAL DE MARNE;94500;CHAMPIGNY SUR MARNE;147062490;;12/09/1975;01/08/1963;05/07/2005;48.8107, 2.51708;48.81069999999998;2.51708
940009384;940009376;PHARM DESALDELEER;;39;;RUE;EMILE ZOLA;;94;VAL DE MARNE;94260;FRESNES;143508742;;25/02/1983;02/08/1962;25/08/2010;48.7622, 2.32685;48.762199999999986;2.32685
940008071;940008063;PHARM  LALLIER & BERNARD;;14;;RUE;LOUISE MICHEL;;94;VAL DE MARNE;94600;CHOISY LE ROI;148847017;;29/08/1986;21/04/1943;25/08/2010;48.7658, 2.40527;48.7658;2.40527
940007172;940007164;PHARM OUDIN;;6;;PL;VERCINGETORIX;;94;VAL DE MARNE;94500;CHAMPIGNY SUR MARNE;148808091;;14/08/1992;29/06/1944;25/08/2010;48.813, 2.55072;48.81299999999998;2.55072
940007982;940007974;PHARM MARIANI;PHARMACIE DE LA GARE;4;;AVENUE;ANATOLE FRANCE;;94;VAL DE MARNE;94600;CHOISY LE ROI;148847534;;07/08/1990;06/10/1966;25/08/2010;48.7649, 2.40956;48.764900000000004;2.40956
940006570;940006562;PHARM DE LEYE BELOT;PHARMACIE DU PONT DE CHAMPIGNY;10;;RUE;ALBERT THOMAS;;94;VAL DE MARNE;94500;CHAMPIGNY SUR MARNE;147062443;;07/08/1974;20/02/1974;21/03/2011;48.8113, 2.51047;48.8113;2.51047
940008287;940008261;PHARM TEP SALY;;9;;ALL;DU COMMERCE;;94;VAL DE MARNE;94000;CRETEIL;143391153;;17/10/1986;07/11/1963;25/08/2010;48.7781, 2.4724;48.77809999999999;2.4724000000000004
940009822;940009814;PHARM LEBON;PHARMACIE DE LA COROLLE;108;;RUE;DE CHEVILLY;;94;VAL DE MARNE;94240;L HAY LES ROSES;146877056;;27/04/1995;26/02/1965;10/02/2009;48.7747, 2.3485;48.774699999999996;2.3485
940009053;940009046;PHARM FRAYSSE;;52;;RUE;DU CDT JEAN DUHAIL;;94;VAL DE MARNE;94120;FONTENAY SOUS BOIS;148730729;;07/08/1990;26/07/1943;20/04/2011;48.8439, 2.46631;48.84389999999998;2.46631
940007420;940017585;PHARM  LIENHARD;PHARMACIE CHARENTON-LIBERTE;118;;RUE;DE PARIS;;94;VAL DE MARNE;94220;CHARENTON LE PONT;143681832;;22/03/1978;15/05/1943;25/08/2010;48.8261, 2.40676;48.82609999999998;2.40676
940012461;940012453;PHARM PERARD;;65;;BOULEVARD;D ALSACE LORRAINE;;94;VAL DE MARNE;94170;LE PERREUX SUR MARNE;143244056;;09/08/1988;30/06/1943;02/07/2009;48.8499, 2.49882;48.8499;2.49882
940009632;940009624;PHARM NEIL;;162;;RUE;GABRIEL PERI;;94;VAL DE MARNE;94250;GENTILLY;145473810;;02/08/1993;12/02/1943;25/08/2010;48.8065, 2.34578;48.806499999999986;2.34578
940007685;940007677;PHARM CUBERTAFOND;;30;;RUE;MOLIERE;;94;VAL DE MARNE;94430;CHENNEVIERES SUR MARNE;145946485;;20/06/1994;07/10/1993;25/08/2010;48.8049, 2.54019;48.80489999999999;2.54019
940009236;940009210;PHARM TRAN AUDREY;;38;;BOULEVARD;DE VERDUN;;94;VAL DE MARNE;94120;FONTENAY SOUS BOIS;143941372;;18/04/1988;23/03/1943;13/07/2009;48.8528, 2.47126;48.85279999999999;2.47126
940007404;940007396;PHARM BERNHARD NATHALIE;;68;B;RUE;PARIS;;94;VAL DE MARNE;94220;CHARENTON LE PONT;143680038;;04/04/1996;10/03/1943;25/08/2010;48.8223, 2.41263;48.8223;2.4126300000000005
940010960;940010952;PHARM BENOIS;;121;;AVENUE;DE FONTAINEBLEAU;;94;VAL DE MARNE;94270;LE KREMLIN BICETRE;146725760;;16/08/1991;29/07/1955;02/07/2009;48.8083, 2.36304;48.80830000000001;2.36304
940010291;940010283;PHARM NGO MINH THUY;;8;;PL;LEON GAMBETTA;;94;VAL DE MARNE;94200;IVRY SUR SEINE;146720051;;29/06/1987;05/07/1943;25/08/2010;48.8142, 2.40203;48.8142;2.40203
940012131;940012123;PHARM SAFFAR;;8;;PL;DU FER A CHEVAL;;94;VAL DE MARNE;94310;ORLY;148534088;;30/05/1991;24/04/1991;25/08/2010;48.7444, 2.40847;48.744400000000006;2.40847
940008501;940008493;PHARM DAHAN;;82;;RUE;DU GENERAL LECLERC;;94;VAL DE MARNE;94000;CRETEIL;142071784;;17/09/1982;17/01/1944;13/02/2009;48.7895, 2.46583;48.7895;2.46583
940011042;940011034;PHARM MOREAU;;18;T;RUE;HENRI BARBUSSE;;94;VAL DE MARNE;94450;LIMEIL BREVANNES;145691257;;28/12/1992;03/11/1992;25/08/2010;48.7523, 2.48712;48.7523;2.48712
940012875;940012867;PHARMACIE MARTIN-BOTOVAVY;;2;;AVENUE;DES BORDES;;94;VAL DE MARNE;94510;LA QUEUE EN BRIE;145941406;;11/06/1992;03/03/1969;17/07/2013;48.7922, 2.5722;48.79220000000001;2.5722
940011430;940011422;PHARM ZEITOUN LINDA;;211;;AVENUE;DU GENERAL LECLERC;;94;VAL DE MARNE;94700;MAISONS ALFORT;143781450;;21/12/1967;10/03/1943;26/01/2009;48.8059, 2.44096;48.80589999999998;2.44096
940015027;940015001;PHARM HOURCADE;;17;;PL;PAUL ELUARD;;94;VAL DE MARNE;94800;VILLEJUIF;147261735;;14/11/1996;14/09/1963;25/08/2010;48.7859, 2.37193;48.785899999999984;2.37193
940012677;940012651;PHARM CARREZ;;207;;AVENUE;PIERRE BROSSOLETTE;;94;VAL DE MARNE;94170;LE PERREUX SUR MARNE;143240555;;21/04/1976;28/05/1943;02/07/2009;48.8343, 2.51523;48.834299999999985;2.51523
940013345;940013337;PHARM ELMALEH;PHARMACIE DU THEATRE;108;;BOULEVARD;DE CRETEIL;;94;VAL DE MARNE;94100;ST MAUR DES FOSSES;148830213;;13/06/1990;20/10/1943;25/08/2010;48.7981, 2.48514;48.79809999999998;2.4851400000000003
940010515;940010507;PHARM UNG MY THANH SON;;190;;BOULEVARD;STALINGRAD;;94;VAL DE MARNE;94200;IVRY SUR SEINE;146715324;146580224;17/10/1994;21/04/1943;11/01/2005;48.8068, 2.37551;48.8068;2.3755099999999993
940015415;940015407;PHARM HUET;;55;;AVENUE;DE CHOISY;;94;VAL DE MARNE;94190;VILLENEUVE ST GEORGES;143890188;;30/07/1982;27/12/1949;12/07/2010;48.7492, 2.43465;48.74920000000001;2.43465
940012891;940012883;PHARM NGO THI NHU LAN;;17;B;RUE;JEAN JAURES;;94;VAL DE MARNE;94510;LA QUEUE EN BRIE;149627892;;12/12/1988;12/10/1988;07/03/2011;48.7843, 2.57845;48.7843;2.5784500000000006
940012974;940012966;PHARM LAVACQUERY;;16;;PL;LOUIS XIII;;94;VAL DE MARNE;94150;RUNGIS;146861900;;25/09/1995;02/05/1961;13/07/2009;48.7512, 2.34522;48.751199999999976;2.34522
940012743;940012735;PHARM GRANDCOURT & KOL;;19;;AVENUE;ARDOUIN;;94;VAL DE MARNE;94420;LE PLESSIS TREVISE;145760527;;04/09/2006;22/05/1967;02/07/2009;48.8087, 2.57443;48.80870000000001;2.57443
940015340;940015332;PHARM RAVANEL;PHARMACIE DU HAUT PAYS;2;;RUE;SAINT MARTIN;;94;VAL DE MARNE;94290;VILLENEUVE LE ROI;145974853;;25/07/1995;13/06/1958;12/07/2010;48.7345, 2.40815;48.7345;2.4081500000000005
940013774;940017650;PHARMACIE GARANT;PHARMACIE BAC 90;90;;AVENUE;DU BAC;;94;VAL DE MARNE;94210;LA VARENNE ST HILAIRE;148831034;;17/09/1976;05/11/1943;23/09/2008;48.793245, 2.51546;48.793245;2.51546
940011943;940011935;PHARM POULET;PHARMACIE DE BALTARD;2;;AVENUE;DE JOINVILLE;;94;VAL DE MARNE;94130;NOGENT SUR MARNE;148772884;;07/01/1991;23/11/1981;02/07/2009;48.8349, 2.47288;48.83489999999998;2.47288
940011927;940011901;PHARM CISZEWSKI ROSE;;4;;RUE;HOCHE;;94;VAL DE MARNE;94130;NOGENT SUR MARNE;143245191;;04/11/1985;25/04/1985;02/07/2009;48.8335, 2.49031;48.8335;2.49031
940013212;940013204;PHARM  MERIDJEN;PHARMACIE DE LA TOURELLE;95;;AVENUE;DE PARIS;;94;VAL DE MARNE;94160;ST MANDE;143282225;;20/02/1995;28/04/1943;13/07/2009;48.846, 2.42201;48.846;2.42201
940014590;940014582;PHARM VILLE;;19;;RUE;DU COLONEL FABIEN;;94;VAL DE MARNE;94460;VALENTON;143890327;;19/06/1992;12/05/1952;02/07/2009;48.7462, 2.46841;48.7462;2.46841
940013246;940013220;PHARM FILIPPI-ASSAYAG;;20;;PL;CHARLES DE GAULLE;;94;VAL DE MARNE;94100;ST MAUR DES FOSSES;148830043;;04/03/1991;24/06/1943;02/12/2008;48.8032, 2.48533;48.80319999999999;2.48533
940014210;940014202;PHARM BIGET;;1;;RUE;DE MONTALEAU;;94;VAL DE MARNE;94370;SUCY EN BRIE;145902033;;09/01/1996;08/01/1943;20/05/2009;48.7717, 2.5096;48.771699999999996;2.5096
940014111;940014103;PHARM DIA;PHARMACIE DU ROND D'OR;23;;PL;DE LA FRATERNITE;;94;VAL DE MARNE;94370;SUCY EN BRIE;145901872;;17/09/1990;09/08/1967;11/06/2009;48.7743, 2.52552;48.7743;2.52552
940014715;940014707;PHARM SIMEON;PHARMACIE DU MARCHE;1;;RUE;DU REVEILLON;;94;VAL DE MARNE;94440;VILLECRESNES;145990238;156326164;07/08/1987;04/11/1963;02/07/2009;48.7221, 2.53442;48.7221;2.53442
940016991;940016983;PHARM LE KIM MINH;;23;;AVENUE;YOURI GAGARINE;;94;VAL DE MARNE;94400;VITRY SUR SEINE;146803482;;27/10/1994;19/08/1994;12/07/2010;48.7877, 2.3907;48.787699999999994;2.3907
940015647;940015621;PHARM MALEINE;;28;;AVENUE;DE LA CHENAIE;;94;VAL DE MARNE;94350;VILLIERS SUR MARNE;149302512;;21/11/1969;21/03/1957;02/07/2009;48.8259, 2.56085;48.82589999999999;2.56085
940018310;940018302;PHARM SEDIAME;PHARMACIE SEDIAME SAID;83;;AVENUE;DE VERDUN;;94;VAL DE MARNE;94000;CRETEIL;141788181;;21/01/1999;26/03/1998;25/08/2010;48.7987, 2.46508;48.79869999999998;2.46508
940015431;940015423;PHARM CHARBIT;PHARMACIE ESPACE CONSEIL;3;;RUE;COURTELINE;;94;VAL DE MARNE;94190;VILLENEUVE ST GEORGES;143890250;;15/05/1987;10/02/1944;02/07/2009;48.7407, 2.45466;48.7407;2.4546599999999996
940016777;940016751;PHARM JERUSALEM;PHARMACIE DE L 'AVENIR;29;;AVENUE;PAUL VAILLANT COUTURIER;;94;VAL DE MARNE;94400;VITRY SUR SEINE;146810930;;23/02/1990;10/03/1943;25/08/2010;48.7993, 2.40087;48.79929999999999;2.40087
920016664;920016656;PHARM CHAUVEL LAMBERT;;62;B;ROUTE;DES GARDES;;92;HAUTS-DE-SEINE;92190;MEUDON;145341142;;26/09/1985;06/05/1969;25/08/2010;48.8161, 2.22559;48.816100000000006;2.22559
920016813;920016805;PHARMA  CONSEIL;;39;;RUE;DE LA REPUBLIQUE;;92;HAUTS-DE-SEINE;92190;MEUDON;155640101;;01/03/2006;29/01/1944;10/02/2009;48.8079, 2.23611;48.807900000000004;2.23611
920017092;920017084;PHARM ABECASSIS MARIE-GABRIELLE;;72;;AVENUE;HENRI GINOUX;;92;HAUTS-DE-SEINE;92120;MONTROUGE;142530241;;02/11/1979;12/02/1943;25/08/2010;48.8166, 2.32124;48.8166;2.32124
920017324;920017316;PHARMACIE DU ROND POINT;;62;;AVENUE;DE LA REPUBLIQUE;;92;HAUTS-DE-SEINE;92120;MONTROUGE;142530153;;01/07/2008;12/02/1943;25/08/2010;48.8171, 2.3185;48.817099999999996;2.3185
920017480;920017472;PHARM HENRY DROUET D AUBIGNY;;;;ALL;CLAUDE BERNARD;;92;HAUTS-DE-SEINE;92000;NANTERRE;147217410;147298041;05/02/1986;05/06/1972;07/07/2009;48.8974, 2.20747;48.897400000000005;2.20747
920017712;920017704;PHARM ISMALDJEE SADJAHOUSSENE;;242;;AVENUE;GEORGES CLEMENCEAU;;92;HAUTS-DE-SEINE;92000;NANTERRE;142041748;;30/09/1983;19/01/1943;07/07/2009;48.8857, 2.21749;48.88569999999999;2.21749
920017944;920017936;PHARM ARMANT;;27;;RUE;DE LA PAIX;;92;HAUTS-DE-SEINE;92000;NANTERRE;147748370;;03/02/2003;10/10/1969;07/07/2009;48.8871, 2.2234;48.8871;2.2234
920018025;920018017;PHARMACIE DE NANTERRE UNIVERSITE;;33;;BOULEVARD;PROVINCES FRANCAISES;;92;HAUTS-DE-SEINE;92000;NANTERRE;147253297;;17/03/1986;11/04/1975;25/08/2010;48.9012, 2.21542;48.90119999999999;2.21542
920018140;920018132;PHARM  NICHABOURI NASSER;;4;;PL;DE STRASBOURG;;92;HAUTS-DE-SEINE;92000;NANTERRE;147823863;;31/10/1995;21/05/1964;07/07/2009;48.9115, 2.2255;48.91149999999998;2.2255
920018330;920018322;PHARMACIE DES SABLONS;;85;;AVENUE;CHARLES DE GAULLE;;92;HAUTS-DE-SEINE;92200;NEUILLY SUR SEINE;146241006;;15/03/2008;09/01/1943;25/08/2010;48.8804, 2.27311;48.88040000000001;2.27311
920018561;920018553;PHARM  DE MIOMANDRE;;22;;RUE;CHAUVEAU;;92;HAUTS-DE-SEINE;92200;NEUILLY SUR SEINE;146244073;;09/01/1976;10/06/1960;25/08/2010;48.8907, 2.27423;48.890699999999995;2.2742300000000006
920019130;920019122;PHARMACIE DU RER;;;;;RER STATION LA DEFENSE;;92;HAUTS-DE-SEINE;92800;PUTEAUX;155230333;;19/08/1988;30/06/1970;23/02/2009;48.8834, 2.23397;48.88339999999999;2.23397
920019163;920019155;PHARMACIE BELLINI;;5;;RUE;BELLINI;;92;HAUTS-DE-SEINE;92800;PUTEAUX;147737837;;19/11/2007;21/12/1965;07/07/2009;48.8865, 2.24931;48.886499999999984;2.24931
920019510;920019502;PHARMA-CNIT;;2;;PL;DE LA DEFENSE;;92;HAUTS-DE-SEINE;92800;PUTEAUX;146980285;;15/01/2006;15/02/1996;25/08/2010;48.8918, 2.24103;48.89179999999999;2.24103
920019676;920019650;PHARM LE TANOU-CORMIER;;69;;AVENUE;DU 18 JUIN 1940;;92;HAUTS-DE-SEINE;92500;RUEIL MALMAISON;147511657;;02/01/2003;31/07/1958;07/07/2009;48.868, 2.19397;48.86799999999999;2.19397
750008625;750008617;PHARMACIE DU MARCHE SAINT HONORE;SELARL PHARMACIE DU MARCHE SAINT HONORE;7;;RUE;DU MARCHE ST HONORE;;75;PARIS;75001;PARIS 01;142610049;142610049;14/02/2008;08/11/1942;19/09/2008;48.8661307, 2.3311526;48.8661307;2.3311526
750008641;750008633;PHARMACIE SAINT EUSTACHE;;23;;RUE;MONTORGUEIL;;75;PARIS;75001;PARIS 01;142362426;142362435;01/02/2008;12/11/1942;13/01/2009;48.864107, 2.3464971;48.864107;2.3464971
750008963;750008955;PHARMACIE DE CHOISEUL;;23;;RUE;DE CHOISEUL;;75;PARIS;75002;PARIS 02;147426732;147420180;30/06/1995;16/09/1943;16/07/2007;48.8705556, 2.3358864;48.8705556;2.3358864
750009144;750009136;PHARMACIE DES GRANDS BOULEVARDS;;178;;RUE;MONTMARTRE;;75;PARIS;75002;PARIS 02;142332396;140284112;01/07/2006;29/10/1942;27/02/2009;48.8711873, 2.3430728;48.8711873;2.3430728
750009243;750009235;PHARMACIE MODERNE DU SENTIER;;7;;RUE;DES PETITS CARREAUX;;75;PARIS;75002;PARIS 02;145085316;;15/05/2013;10/11/1942;24/05/2013;48.8667193, 2.3471361;48.8667193;2.3471361
750009276;750009250;PHARMACIE INTERNATIONALE CENTRALE;;143;;RUE;SAINT DENIS;;75;PARIS;75002;PARIS 02;145085108;;29/06/1993;10/11/1942;27/02/2009;48.8626681, 2.3495752;48.8626681;2.3495752
750009490;750009482;PHARMACIE BEAUMARCHAIS;;91;;BOULEVARD;BEAUMARCHAIS;;75;PARIS;75003;PARIS 03;142786299;142788538;12/06/1997;21/05/1943;27/02/2009;48.8593755, 2.3673858;48.8593755;2.3673858
750009847;750009821;PHARM PHAYPRADITH;;143;;RUE;DU TEMPLE;;75;PARIS;75003;PARIS 03;142784227;142784227;26/04/1991;12/11/1942;25/08/2010;48.8638, 2.3585657;48.8638;2.3585657
750009961;750009953;GRANDE PHARM DE TURENNE;;95;;RUE;DE TURENNE;;75;PARIS;75003;PARIS 03;142784263;;01/09/2005;25/03/1947;25/11/2008;48.8611347, 2.364488;48.8611347;2.364488
750010225;750010217;PHARMACIE HENRI IV;;27;;BOULEVARD;HENRI IV;;75;PARIS;75004;PARIS 04;148877447;142760201;30/10/1992;11/05/1943;25/08/2010;48.8519985, 2.3647948;48.8519985;2.3647948
750010480;750010472;SELARL PHARMACIE DE LA TOUR;;18;;RUE;SAINT MARTIN;;75;PARIS;75004;PARIS 04;148877470;140279710;01/10/2010;08/06/1943;21/07/2011;48.8583244, 2.3499582;48.8583244;2.3499582
750010860;750010845;MME MAIWENN LOIREAU;;6;;RUE;DES ECOLES;;75;PARIS;75005;PARIS 05;143268240;144073741;02/05/2011;11/11/1942;22/07/2011;48.8480432, 2.3510093;48.8480432;2.3510093
750010902;750010886;PHARMACIE 5;;20;;RUE;DES ÉCOLES;;75;PARIS;75005;PARIS 05;143268084;172704653;27/04/2000;11/11/1942;25/08/2010;48.8486599, 2.3487031;48.8486599;2.3487031
